,Question,Answer,explanationifFalse,AnswerShort
132,"De rol van dominante persoonlijkheden in de geschiedenis gaat terug op visies zoals deze van Thucydides (5e eeuw voor Christus), die oorlogen verklaart uit de rol van dominante leiders of van Philippe de Commynes die de botsing tussen Bourgondische hertogen en Franse koningen in de 15e eeuw verklaart vanuit hun respectievelijke psychologie.
",N/A,N/A,t
133,"Romeinse auteurs hebben hun vak verheven tot een les in Romeins patriottisme (Livius, Caesar), Machiavelli neemt ook dit over door de Italiaanse stadstaat op te hemelen (Firenze).
",N/A,N/A,t
134,"Een kopie vereist overeenstemming tussen schriftbeeld en de datum waaruit het document beweert te stammen.
",N/A,N/A,t
135,"In de late Oudheid hanteerde men bij voorkeur de capitalis elegans voor het kopiëren van klassiek Latijnse auteurs, zoals Vergilius, en de unciaal voor bijbels. Beide zijn geposeerde lettertypes.
",N/A,N/A,t
136,"Bepaalde omstandigheden (oorlogen, opstanden, stakingen) verhogen het belang van mondelinge overleveringen in vergelijking tot dat van schriftelijke overleveringen.
",N/A,N/A,t
137,"Johan Huizinga, geïnspireerd door Jacob Burckhardt, is een voorloper van de mentaliteitsgeschiedenis, hij zoekt naar de band tussen kunstvormen en dieperliggende mentale factoren. De analyse wordt ook intuïtief uitgevoerd, hij houdt rekening met ethische, esthetische en psychologische motieven.
",N/A,N/A,t
138,"Het historisme meende met Ranke dat de onderzoeker alle ideologische waardeoordelen kon achterwege laten, maar geloofde de facto in sociaal-economische determinisme, zoals uit het werk van Karl Lamprecht blijkt.
",N/A,N/A,t
139,"Twee paradoxen kleuren de vernieuwing in de geschiedschrijving van de renaissance der 16e eeuw: op het moment dat de geschiedschrijving zich losmaakt van eeuwenlange bevoogding door de Kerk schrijft ze meer dan ooit over godsdienstige kwesties; dit ideologische duel tussen protestanten en katholieken heeft sterk bijgedragen tot de ontwikkeling van een kritische geschiedschrijving.
",N/A,N/A,t
140,"Bij het gebruik van de pers als historische bron moet de onderzoeker er op beducht zijn dat interferentie en contaminatie tussen het verloop van de gebeurtenissen en de informatie mogelijk is.
",N/A,N/A,t
141,"Elke berichtgeving in de pers is fataal deformerend.
",N/A,N/A,t
142,"Twee kenmerken van egodocumenten zijn teleologisering en rationalisatie post-factum.
",N/A,N/A,t
143,"Egodocumenten, in de betekenis die J. Presser aan de term gaf, zijn doorgaans onbetrouwbare spiegels van de realiteit.
",N/A,N/A,t
144,"Oorkonden zijn opgebouwd uit drie delen: protocol, context en eschatocol.
",N/A,N/A,t
145,"Misdaadstatistiek weerspiegelt meer de evolutie van de repressie dan van de verschuivingen in de soort misdaden. Sommige misdrijven, vooral in de sfeer van de zedendelicten, worden systematisch ondergerapporteerd (zogenaamd ‘dark number’).
",N/A,N/A,t
146,"Wetenschappelijk gefundeerde bevolkingstellingen werden het eerst in België uitgevoerd. (A. Quetelet,1846).
",N/A,N/A,t
147,"Een pseudo-origineel hoeft niet noodzakelijk te liegen wat de inhoud betreft, de vormelijke en materiële aspecten daarentegen zijn niet in orde.
",N/A,N/A,t
148,"Oswald Spengler (Untergang des Abendlandes 1918) ziet de Duitse cultuur instorten en stelt dat de hele Europese cultuur net als deze van Egypte en van de Azteken zal onderworpen zijn aan een fatale cyclus van ondergang en dood.
",N/A,N/A,t
149,"Bij selectie van een nuttige variant die men verkiest om het niet voorhanden zijnde origineel van een bron te herstellen, kiest men niet noodzakelijk de variant die het meest voorkomt, maar diegene die het meeste kans op identiteit met het origineel biedt.
",N/A,N/A,t
150,"Volgens de Italiaanse auteur Vilfredo Pareto determineert de afwisseling van elites het verloop van politieke evoluties. Een revolutie doet zich voor wanneer de afwisseling niet soepel loopt en personen van lagere status macht verwerven.
",N/A,N/A,t
151,"Bij het interpreteren van statistische gegevens, stelt de ‘wet van de grote getallen’ dat een herhaling van de proefnemingen op grote schaal de ‘zekerheid’ vergroot. Door de brede basis van de waarnemingen wordt het toeval ‘regelmatig’ en als dusdanig uitgeschakeld. Een steekproef wordt evenwel niet betrouwbaarder door het uitbreiden van het aantal waarnemingen, ook de representativiteit is van belang.
",N/A,N/A,t
152,"Bij de herstellingskritiek houdt men rekening met onbewust begane fouten of fouten uit slordigheid. Onder meer de dittografie (het bij vergissing herhalen van woorden of letters) of de metathese(het verspringen van letters).
",N/A,N/A,t
153,"Nelson Goodman introduceerde het postmoderne denken definitief in de kunstgeschiedenis door het probleem van het werkelijkheidsgehalte van het afgebeelde scherp te stellen: weerspiegelt een schilderij van Vermeer de schilder Vermeer en zijn aanpak, dan wel de realiteit van het afgebeelde (in dit geval Delft in de 17de eeuw)?
",N/A,N/A,t
